sample_id,prepare_status,mfa_textgrid_missing,text_word_count,aligned_word_count,dictionary_oov_words,audio_valid_bins,audio_rms_mean,vision_valid_bins,issue
-HwX2H8Z4hY/9,ok,False,22,22,,16,0.03187955915927887,0,no detected face windows
-NFrJFQijFE/1,ok,False,16,16,,12,0.024317333474755287,0,no detected face windows
-NFrJFQijFE/2,ok,False,18,18,,14,0.0693231150507927,0,no detected face windows
-iRBcNs9oI8/3,ok,False,8,8,,12,0.04731966182589531,0,no detected face windows
-iRBcNs9oI8/7,ok,False,9,9,,8,0.044268932193517685,0,no detected face windows
-iRBcNs9oI8/6,ok,False,5,5,,6,0.04203371703624725,0,no detected face windows
-iRBcNs9oI8/9,ok,False,5,5,,7,0.0606161467730999,0,no detected face windows
-iRBcNs9oI8/8,ok,False,21,21,,17,0.054937705397605896,0,no detected face windows
-lzEya4AM_4/5,ok,False,19,19,,16,0.030306275933980942,0,no detected face windows
-lzEya4AM_4/6,ok,False,43,43,,30,0.028217699378728867,0,no detected face windows
-mJ2ud6oKI8/1,ok,False,13,13,,13,0.0,0,no detected face windows
-mJ2ud6oKI8/2,ok,True,11,0,,12,0.0,0,MFA did not export a TextGrid; no aligned transcript words; no detected face windows
-571d8cVauQ/0,ok,False,12,12,,10,0.008456788957118988,0,no detected face windows
-571d8cVauQ/5,ok,False,43,43,,31,0.010461810044944286,0,no detected face windows
-UacrmKiTn4/10,ok,False,18,18,,15,0.019368162378668785,0,no detected face windows
-UacrmKiTn4/4,ok,False,14,14,,10,0.01855980046093464,0,no detected face windows
-hnBHBN8p5A/7,ok,False,13,13,,15,0.04253073409199715,0,no detected face windows
-hnBHBN8p5A/6,ok,False,13,13,,13,0.04448996111750603,0,no detected face windows
-qDkUB0GgYY/6,ok,False,16,16,,10,0.021902211010456085,0,no detected face windows
-HeZS2-Prhc/2,ok,False,16,16,,17,0.031056154519319534,0,no detected face windows
-MeTTeMJBNc/0,ok,False,21,21,,19,0.029128137975931168,0,no detected face windows
-MeTTeMJBNc/13,ok,False,14,14,,11,0.02568482793867588,0,no detected face windows
-MeTTeMJBNc/7,ok,False,31,31,,21,0.027054104954004288,0,no detected face windows
-UUCSKoHeMA/0,ok,False,18,18,,16,0.016075752675533295,0,no detected face windows
-ri04Z7vwnc/0,ok,False,8,8,,6,0.16933132708072662,0,no detected face windows
