sample_id,modality,modality_importance,rank,grid_start,grid_end_exclusive,span_length,mean_gate,mean_occlusion,evidence_score,start_sec_approx,end_sec_approx,audio_start_sec_approx,audio_end_sec_approx,text_fragment_approx,keyframe_path,mapping_method
01,text,0.38891613483428955,1,32,37,5,0.2436850368976593,0.007935136556625366,1.4819045066833496,5.76,6.66,,,the new belt,,uniform_valid_grid_to_video_duration
01,text,0.38891613483428955,2,0,2,2,0.24664832651615143,0.0033925953321158886,0.640455424785614,0.0,0.36,,,Replacing,,uniform_valid_grid_to_video_duration
01,audio,0.056233961135149,1,38,42,4,0.22950975596904755,0.0011952829081565142,1.3122605085372925,6.84,7.56,6.84,7.56,,,uniform_valid_grid_to_video_duration
01,audio,0.056233961135149,2,45,47,2,0.23104256391525269,0.0011952981585636735,1.080844759941101,8.1,8.46,8.1,8.46,,,uniform_valid_grid_to_video_duration
01,vision,0.5548499226570129,1,16,24,8,0.24518266320228577,0.011178335174918175,0.8441897034645081,2.88,4.32,,,,outputs/q3/evidence_frames/01_vision_rank1.jpg,uniform_valid_grid_to_video_duration
01,vision,0.5548499226570129,2,12,13,1,0.24392062425613403,0.02015519142150879,0.7509363889694214,2.16,2.34,,,,outputs/q3/evidence_frames/01_vision_rank2.jpg,uniform_valid_grid_to_video_duration
02,text,0.1433991938829422,1,7,9,2,0.23479896783828735,0.007312634494155645,0.9383690357208252,0.4713333333333333,0.606,,,to live,,uniform_valid_grid_to_video_duration
02,text,0.1433991938829422,2,33,38,5,0.2354263812303543,0.0042578671127557755,0.9197721481323242,2.222,2.558666666666667,,,by each other,,uniform_valid_grid_to_video_duration
02,audio,0.09867961704730988,1,44,46,2,0.2327810823917389,0.001276625320315361,0.9727259874343872,2.9626666666666663,3.0973333333333333,2.9626666666666663,3.0973333333333333,,,uniform_valid_grid_to_video_duration
02,audio,0.09867961704730988,2,47,49,2,0.23248687386512756,0.001278240466490388,0.9422789216041565,3.164666666666667,3.2993333333333332,3.164666666666667,3.2993333333333332,,,uniform_valid_grid_to_video_duration
02,vision,0.7579211592674255,1,5,9,4,0.23716378211975098,0.026372309774160385,1.4426180124282837,0.33666666666666667,0.606,,,,outputs/q3/evidence_frames/02_vision_rank1.jpg,uniform_valid_grid_to_video_duration
02,vision,0.7579211592674255,2,0,4,4,0.23777040839195251,0.024266712367534637,1.2260792255401611,0.0,0.2693333333333333,,,,outputs/q3/evidence_frames/02_vision_rank2.jpg,uniform_valid_grid_to_video_duration
03,text,0.8399250507354736,1,14,17,3,0.24359984695911407,0.005810614675283432,0.9633564949035645,2.6973333333333334,3.275333333333333,,,which I think,,uniform_valid_grid_to_video_duration
03,text,0.8399250507354736,2,5,6,1,0.2365437000989914,0.009160795249044895,0.6465213298797607,0.9633333333333333,1.156,,,one,,uniform_valid_grid_to_video_duration
03,audio,0.03496323898434639,1,36,40,4,0.2329442799091339,0.0005267610540613532,1.5840990543365479,6.935999999999999,7.706666666666666,6.935999999999999,7.706666666666666,,,uniform_valid_grid_to_video_duration
03,audio,0.03496323898434639,2,34,35,1,0.23049874603748322,0.00035477083292789757,0.40670904517173767,6.550666666666666,6.743333333333332,6.550666666666666,6.743333333333332,,,uniform_valid_grid_to_video_duration
03,vision,0.1251116544008255,1,29,34,5,0.25291013717651367,0.00487527996301651,1.1404390335083008,5.5873333333333335,6.550666666666666,,,,outputs/q3/evidence_frames/03_vision_rank1.jpg,uniform_valid_grid_to_video_duration
03,vision,0.1251116544008255,2,24,25,1,0.2486364245414734,0.0065628886222839355,0.7402263879776001,4.624,4.816666666666666,,,,outputs/q3/evidence_frames/03_vision_rank2.jpg,uniform_valid_grid_to_video_duration
