sample_id,modality,modality_importance,rank,grid_start,grid_end_exclusive,span_length,mean_gate,mean_occlusion,evidence_score,gate_score,occlusion_magnitude,classification_signed_effect,regression_signed_effect,evidence_direction,start_sec_approx,end_sec_approx,audio_start_sec_approx,audio_end_sec_approx,text_fragment_approx,keyframe_path,mapping_method
01,text,0.4096018970012665,1,43,49,6,0.49372968077659607,0.00912290345877409,1.696763277053833,0.49372968077659607,0.00912290345877409,0.012401391752064228,-0.02523101307451725,mixed,7.74,8.82,,,its mileage requirements,,uniform_valid_grid_to_video_duration
01,text,0.4096018970012665,2,29,34,5,0.46550241112709045,0.007562329061329365,0.623528778553009,0.46550241112709045,0.007562329061329365,0.011238682083785534,-0.012286785058677197,mixed,5.22,6.12,,,ensuring the new,,uniform_valid_grid_to_video_duration
01,audio,0.09321213513612747,1,44,49,5,0.6760705709457397,0.0010955438483506441,1.1113007068634033,0.6760705709457397,0.0010955438483506441,0.0014196991687640548,-0.0036558627616614103,supportive,7.92,8.82,7.92,8.82,,,uniform_valid_grid_to_video_duration
01,audio,0.09321213513612747,2,29,32,3,0.6698806285858154,0.00112384173553437,0.8712822794914246,0.6698806285858154,0.00112384173553437,0.001507619977928698,-0.00328904390335083,supportive,5.22,5.76,5.22,5.76,,,uniform_valid_grid_to_video_duration
01,vision,0.4971858859062195,1,24,29,5,0.5199581980705261,0.0060552372597157955,1.454074740409851,0.5199581980705261,0.0060552372597157955,0.008181596174836159,-0.017194196581840515,mixed,4.32,5.22,,,,outputs/q3_v2/attachment4/evidence_frames/01_vision_rank1.jpg,uniform_valid_grid_to_video_duration
01,vision,0.4971858859062195,2,35,39,4,0.5214139819145203,0.0060977633111178875,1.4352561235427856,0.5214139819145203,0.0060977633111178875,0.008218467235565186,-0.017500244081020355,mixed,6.3,7.02,,,,outputs/q3_v2/attachment4/evidence_frames/01_vision_rank2.jpg,uniform_valid_grid_to_video_duration
02,text,0.2898907959461212,1,44,46,2,0.5719062089920044,0.007872963324189186,1.213659405708313,0.5719062089920044,0.007872963324189186,-0.006713926792144775,-0.057669103145599365,contradictory,2.9626666666666663,3.0973333333333333,,,s misery,,uniform_valid_grid_to_video_duration
02,text,0.2898907959461212,2,47,49,2,0.5655637979507446,0.008376282639801502,1.2127031087875366,0.5655637979507446,0.008376282639801502,-0.008804842829704285,-0.04640065133571625,contradictory,3.164666666666667,3.2993333333333332,,,misery .,,uniform_valid_grid_to_video_duration
02,audio,0.08749048411846161,1,40,44,4,0.6888667345046997,0.0010558153735473752,1.1474497318267822,0.6888667345046997,0.0010558153735473752,0.0011323019862174988,-0.005646511912345886,supportive,2.6933333333333334,2.9626666666666663,2.6933333333333334,2.9626666666666663,,,uniform_valid_grid_to_video_duration
02,audio,0.08749048411846161,2,29,31,2,0.6896464228630066,0.001038852846249938,0.8223202228546143,0.6896464228630066,0.001038852846249938,0.001165539026260376,-0.005092941224575043,supportive,1.9526666666666668,2.0873333333333335,1.9526666666666668,2.0873333333333335,,,uniform_valid_grid_to_video_duration
